,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
256,The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,2012-08-22,2010,3
257,Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,2017-02-09,2010,3
258,Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,2016-12-12,2010,3
259,Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,2015-09-21,2010,3
260,Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,2017-10-06,2010,3
261,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,2012-08-22,2010,3
262,Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,2016-02-04,2010,3
263,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,2012-09-13,2010,3
264,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,2016-10-20,2010,3
265,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,2014-03-21,2010,3
266,Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,2014-03-21,2010,3
267,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,2012-09-13,2010,3
268,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,2016-07-11,2010,3
269,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,2016-09-12,2010,3
270,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,2016-08-08,2010,3
271,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,2014-03-21,2010,3
272,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,2015-09-21,2010,3
273,Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,2016-12-12,2010,3
274,USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,2017-10-06,2010,3
275,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,2015-05-08,2010,3
276,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,2013-01-15,2010,3
277,High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,2012-09-14,2010,2
278,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,2014-03-21,2010,2
279,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,2014-03-21,2010,2
280,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,2012-08-23,2010,2
281,Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,2012-09-14,2010,2
282,TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,2012-09-14,2010,2
283,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,2015-05-08,2010,2
284,First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,2014-03-21,2010,2
285,Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,2012-09-14,2010,2
286,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,2017-09-07,2010,2
287,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,2016-08-08,2010,2
288,Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,2016-08-08,2010,2
289,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,2016-08-08,2010,2
290,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,2012-10-26,2010,2
291,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,2012-08-23,2010,2
292,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,2016-02-04,2010,2
293,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,2012-08-23,2010,2
294,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,2014-03-21,2010,2
295,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,2012-12-13,2010,2
296,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,2012-08-23,2010,2
297,Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,2015-02-05,2010,2
298,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,2012-11-05,2010,2
299,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,2013-01-15,2010,2
300,BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,2012-08-23,2010,2
301,Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,2016-06-06,2010,2
302,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,2016-04-13,2010,2
303,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,2014-03-21,2010,2
304,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,2015-08-05,2010,2
305,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,2014-03-21,2010,2
306,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,2012-08-23,2010,2
307,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,2012-08-23,2010,2
308,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,2012-08-23,2010,2
309,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,2012-08-23,2010,2
310,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,2014-06-05,2010,2
311,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,2012-08-23,2010,2
312,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,2012-08-23,2010,2
313,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,2012-09-14,2010,2
