,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date,close_year,close_quarter
412,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,2009-09-11,2016-10-20,2009,3
413,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",2009-09-11,2012-08-21,2009,3
414,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,2009-09-04,2015-02-05,2009,3
415,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,2009-09-04,2012-08-21,2009,3
416,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,2009-09-04,2012-08-21,2009,3
417,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.",2009-09-04,2015-10-17,2009,3
418,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,2009-09-04,2012-08-21,2009,3
419,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,2009-08-28,2012-08-21,2009,3
420,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,2009-08-28,2012-08-21,2009,3
421,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),2009-08-28,2013-01-15,2009,3
422,Guaranty Bank,Austin,TX,32618,BBVA Compass,2009-08-21,2012-08-21,2009,3
423,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,2009-08-21,2013-01-15,2009,3
424,First Coweta Bank,Newnan,GA,57702,United Bank,2009-08-21,2015-12-07,2009,3
425,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",2009-08-21,2012-08-21,2009,3
426,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,2009-08-14,2012-08-21,2009,3
427,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,2009-08-14,2012-08-21,2009,3
428,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,2009-08-14,2012-08-21,2009,3
429,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14,2014-06-12,2009,3
430,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",2009-08-14,2013-01-15,2009,3
431,Community First Bank,Prineville,OR,23268,Home Federal Bank,2009-08-07,2017-10-06,2009,3
432,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",2009-08-07,2012-08-20,2009,3
433,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",2009-08-07,2012-08-20,2009,3
434,Mutual Bank,Harvey,IL,18659,United Central Bank,2009-07-31,2012-08-20,2009,3
435,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,2009-07-31,2012-08-20,2009,3
436,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",2009-07-31,2012-08-20,2009,3
437,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,2009-07-31,2012-08-20,2009,3
438,First State Bank of Altus,Altus,OK,9873,Herring Bank,2009-07-31,2012-08-20,2009,3
439,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,2009-07-24,2012-08-20,2009,3
440,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,2009-07-24,2015-10-17,2009,3
441,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,2009-07-24,2012-08-20,2009,3
